,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
7756,2020,Mid-level /Intermediate,Full-time,Research Scientist,450000,USD,450000,United States of America,Not at all,United States of America,Medium
6268,2022,Mid-level /Intermediate,Full-time,Data Analyst,350000,GBP,430967,United Kingdom (Great Britain),Not at all,United Kingdom (Great Britain),Medium
4268,2023,Mid-level /Intermediate,Full-time,Analytics Engineer,350000,GBP,430640,United Kingdom (Great Britain),Not at all,United Kingdom (Great Britain),Medium
7966,2021,Mid-level /Intermediate,Full-time,Applied Machine Learning Scientist,423000,USD,423000,United States of America,Somthimes,United States of America,Large
4796,2023,Senior-level/ Expert,Full-time,AI Scientist,1500000,ILS,417937,Israel,Not at all,Israel,Large
7901,2021,Executive-level / Director,Contract,Principal Data Scientist,416000,USD,416000,United States of America,Totally Remote,United States of America,Small
7969,2020,Senior-level/ Expert,Full-time,Data Scientist,412000,USD,412000,United States of America,Totally Remote,United States of America,Large
7699,2022,Senior-level/ Expert,Full-time,Data Analytics Lead,405000,USD,405000,United States of America,Totally Remote,United States of America,Large
248,2023,Mid-level /Intermediate,Full-time,Research Scientist,405000,USD,405000,United States of America,Not at all,United States of America,Large
3498,2023,Senior-level/ Expert,Full-time,Analytics Engineering Manager,325000,GBP,399880,United Kingdom (Great Britain),Somthimes,United Kingdom (Great Britain),Large
2826,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,392000,USD,392000,United States of America,Not at all,United States of America,Medium
1045,2023,Senior-level/ Expert,Full-time,Data Infrastructure Engineer,385000,USD,385000,United States of America,Not at all,United States of America,Medium
5552,2023,Senior-level/ Expert,Full-time,Data Analyst,385000,USD,385000,United States of America,Not at all,United States of America,Medium
1263,2023,Senior-level/ Expert,Full-time,ML Engineer,385000,USD,385000,United States of America,Totally Remote,United States of America,Medium
458,2023,Senior-level/ Expert,Full-time,Research Engineer,385000,USD,385000,United States of America,Not at all,United States of America,Medium
464,2023,Senior-level/ Expert,Full-time,Data Engineer,385000,USD,385000,United States of America,Not at all,United States of America,Medium
414,2023,Senior-level/ Expert,Full-time,Data Engineer,385000,USD,385000,United States of America,Not at all,United States of America,Medium
